File path; File name; Scanner type; Date and time; Duration; Scan mode; Type; Frequency; Code; Favorite name; System name; Department name; Channel name; Site; TGID; UID; UID Name; Latitude; Longitude
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-06-38.wav;2020-06-21_18-06-38.wav;BCDx36HP;6/21/2020 6:06:39 PM;00:00:01;Normal scan mode;P25Standard;858.2375;;HoCo;Howard County (Project 25);Police;District 1 Dispatch (Fire A9/B9/C9/D9);Site 2;10961;2468170;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-08-15.wav;2020-06-21_18-08-15.wav;BCDx36HP;6/21/2020 6:08:17 PM;00:00:01;Normal scan mode;P25Standard;851.9625;;HoCo;Howard County (Project 25);Police;District 1 Dispatch (Fire A9/B9/C9/D9);Site 2;10961;109;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_00-05-35.wav;2020-06-21_00-05-35.wav;BCDx36HP;6/21/2020 12:05:42 AM;00:00:07;Normal scan mode;Conventional;42.4400;CTCSS:131.8Hz;180683-Regional;California Highway Patrol (CHP);Golden Gate Division - Golden Gate Communications Center;Pink - Base - San Francisco (32);;;;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_12-15-23.wav;2020-06-21_12-15-23.wav;BCDx36HP;6/21/2020 12:15:26 PM;00:00:03;Normal scan mode;P25Standard;772.3937;;180683-Alameda CA;East Bay Regional Communications System (EBRCS);East Bay Regional Park District;Police Dispatch;ALCO Northwest Simulcast;10005;3278001;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-22_23-21-56.wav;2020-06-22_23-21-56.wav;BCDx36HP;6/22/2020 11:21:57 PM;00:00:00;Normal scan mode;Edacs;852.8125;;Transit;Bay Area Rapid Transit (BART);Maintenance;Power/Support (Central Maintainence);Simulcast;02-037;;;37.725840;-122.115887
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-20-14.wav;2020-06-21_18-20-14.wav;BCDx36HP;6/21/2020 6:20:18 PM;00:00:03;Normal scan mode;P25Standard;853.0375;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;2468326;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_17-45-09.wav;2020-06-21_17-45-09.wav;BCDx36HP;6/21/2020 5:45:10 PM;00:00:01;Normal scan mode;P25Standard;852.6375;;HoCo;Howard County (Project 25);Police;District 1 Dispatch (Fire A9/B9/C9/D9);Site 2;10961;2466215;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-43-14.wav;2020-06-21_18-43-14.wav;BCDx36HP;6/21/2020 6:43:19 PM;00:00:05;Normal scan mode;P25Standard;853.0625;;HoCo;Howard County (Project 25);Police;District 1 Dispatch (Fire A9/B9/C9/D9);Site 2;10961;2468181;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-18-10.wav;2020-06-21_18-18-10.wav;BCDx36HP;6/21/2020 6:18:11 PM;00:00:01;Normal scan mode;P25Standard;852.8000;;HoCo;Howard County (Project 25);Police;District 2 Dispatch (Fire A10/B10/C10/D10);Site 2;10963;2466056;;;
Z:\go\src\github.com\Bearcatter\bearcatter\wavparse\fixtures\2020-06-21_18-43-00.wav;2020-06-21_18-43-00.wav;BCDx36HP;6/21/2020 6:43:01 PM;00:00:01;Normal scan mode;P25Standard;851.5375;;HoCo;Howard County (Project 25);Fire;A1 Dispatch;Site 2;10901;112;;;
